Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G1,E8702D80EF,Escola El Carmel (Valors IPP),Escola El Carmel (Valors IPP),Nivell E,Divendres,Fora,4,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G1,E6AA37678D,"Escola Diputació - TEAM ""A""",Escola Diputació - TEAM,Nivell E,Divendres,Fora,5,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G1,9C4AADB1A3,Escola Josep Mº Jujol (Valors IPP),Escola Josep Mº Jujol (Valors IPP),Nivell E,Divendres,Fora,6,"[1, 2]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G1,F3B509DC36,"Escola Mallorca (AE L'Eixample) ""A""",Escola Mallorca (AE L'Eixample),Nivell E,Divendres,7,7,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G1,EE4099E6F0,"Escola Calderon de la Barca AMPA ""A""",Escola Calderon de la Barca AMPA,Nivell D,Divendres,8,8,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G4,4B35B09D48,"ACE Sansur ""A""",ACE Sansur,Nivell C,Divendres,Casa,1,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G4,FB3BD0508D,"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,Nivell E,Divendres,2,2,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G4,3E546FB72D,"Escola Brasil (FPC CET 10) ""A""",Escola Brasil (FPC CET 10),Nivell C,Divendres,Fora,3,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G4,A0A3E8DC76,"Escola Els Llorers (AE L'Eixample) ""A""",Escola Els Llorers (AE L'Eixample),Nivell D,Divendres,5,4,"[6, 7]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G4,94E08AE651,"Escola Thau ""A""",Escola Thau,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G4,A3834D704A,"CE La Salle Gracia ""Groc""",CE La Salle Gracia,Nivell C,Divendres,5,6,"[1, 2]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G4,75F5AFAF76,"Fundació Escola Teresianes Ganduxer ""B""",Fundació Escola Teresianes Ganduxer,Nivell C,Divendres,7,7,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G4,A69FDB7755,"Escola Sant Josep Oriol ""A""",Escola Sant Josep Oriol,Nivell D,Divendres,Casa,8,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G7,3CDF0C1190,"Escola Pia Sant Miquel ""P""",Escola Pia Sant Miquel,Nivell C,Dissabte,1,1,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G7,4CAC51EA92,Col·legi Abat Oliba Loreto,Col·legi Abat Oliba Loreto,Nivell C,Divendres,Casa,2,"[1, 2]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G7,DUMMY-1,Dummy 1,Dummy,Dummy,,,3,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G7,DB04F43895,"Escola Auró (AE L'Eixample) ""A""",Escola Auró (AE L'Eixample),Nivell C,Divendres,4,4,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G7,775800D0BD,CE Vincit-Provençalenc C,CE Vincit-Provençalenc,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G7,A9C11616EF,"Escola Bac de Roda (7 d'Aventura) ""A""",Escola Bac de Roda (7 d'Aventura),Nivell E,Divendres,5,6,"[1, 2]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G7,747B10B6D5,Torrent d'en Melis - Gestió Club,Futbol Club Martinenc,Nivell E,Divendres,Casa,7,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G7,E37C1A4159,Àngels Garriga SPOT,Àngels Roig SPOT,Nivell E,Divendres,1,8,"[6, 7]"
