Nom,Entitat,Nom Lliga,Nivell,Núm. sorteig,Modalitat,Categoria,Subcategoria,Dia partit,Horari partit,Observacions
CE Vincit-Provençalenc C,CE Vincit-Provençalenc,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:00 h,
Col·legi SAFA Horta,Col·legi SAFA Horta,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,FUTBOL 5,ALEVÍ,MIXT,Dissabte,12:00 h,
"Club Esportiu Terra Negra ""A""",Club Esportiu Terra Negra,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,Alternar sorteig amb Femení de Palmasec.
"Escola Auró (AE L'Eixample) ""A""",Escola Auró (AE L'Eixample),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,4,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:30 h,
"Escola Pia Balmes ""A""",Escola Pia Balmes,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,4,FUTBOL 5,ALEVÍ,MIXT,Divendres,20:00 h,
"EB Vallcarca Nord (FBC) ""Blau""",EB Vallcarca Nord (FBC),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:15 h,
Parc del Guinardó - Gestió Club,Futbol Club Martinenc,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
Torrent d'en Melis - Gestió Club,Futbol Club Martinenc,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
"Centre d'Estudis Montseny ""A""",Centre d'Estudis Montseny,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell D,1,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:15 h,
Scala Dei - Futsal Dante,Scala Dei - Futsal Dante,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:00 h,
"Institut Escola Londres (AE L'Eixample) ""A""",Institut Escola Londres (AE L'Eixample),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,7,FUTBOL 5,ALEVÍ,MIXT,Dissabte,09:00 h,
"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell B,5,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:45 h,LLIGA DIVENDRES
"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell D,7,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
"Escola Calderon de la Barca AMPA ""A""",Escola Calderon de la Barca AMPA,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell D,8,FUTBOL 5,ALEVÍ,MIXT,Divendres,20:00 h,
"Club Esportiu Mediterrani ""C""",Club Esportiu Mediterrani,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,FUTBOL 5,ALEVÍ,MIXT,Divendres,20:00 h,Equip d'iniciació
"Escola Diputació - TEAM ""A""",Escola Diputació - TEAM,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:15 h,
"Escolàpies de Llúria (FPC CET 10) ""A""",Escolàpies de Llúria (FPC CET 10),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,1,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
Escola Ntra Sra de Lurdes,Escola Ntra Sra de Lurdes,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell D,1,FUTBOL 5,ALEVÍ,MIXT,Dissabte,09:00 h,
Manyanet Sant Andreu,Manyanet Sant Andreu,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell B,1,FUTBOL 5,ALEVÍ,MIXT,Dissabte,14:00 h,
"Escola Mallorca (AE L'Eixample) ""A""",Escola Mallorca (AE L'Eixample),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,7,FUTBOL 5,ALEVÍ,MIXT,Dissabte,11:00 h,
"The Benjamin Franklin International School ""A""",The Benjamin Franklin International School,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,7,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
"Escola Suïssa de Barcelona ""A""",Escola Suïssa de Barcelona,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,2,FUTBOL 5,ALEVÍ,MIXT,Dissabte,09:00 h,
Escola El Carmel (Valors IPP),Escola El Carmel (Valors IPP),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,FUTBOL 5,ALEVÍ,MIXT,Divendres,20:00 h,
"Escola El Carmel (Valors IPP) ""B""",Escola El Carmel (Valors IPP),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
Col·legi Padre Damian Sagrados Corazones,Col·legi Padre Damian Sagrados Corazones,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Fora,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:15 h,
Centre Montserrat-Xavier,Centre Montserrat-Xavier,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:00 h,
"Centre Montserrat-Xavier ""B""",Centre Montserrat-Xavier,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:00 h,
"Kinobs Sports SLU ""A""",Kinobs Sports SLU,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,3,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
"Escola Sagrada Familia Sant Andreu ""A""",Escola Sagrada Familia Sant Andreu,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,8,FUTBOL 5,ALEVÍ,MIXT,Divendres,20:00 h,
"Escola Thau ""A""",Escola Thau,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:00 h,
"Escola Thau ""B""",Escola Thau,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Fora,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:00 h,
Escola Grevol,Escola Grevol,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell A,3,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
