Nom,Entitat,Nom Lliga,Nivell,Núm. sorteig,Dia partit,Horari partit,Observacions
"Institut Escola Londres (AE L'Eixample) ""A""",Institut Escola Londres (AE L'Eixample),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,7,Dissabte,09:00 h,
"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell B,5,Divendres,19:45 h,LLIGA DIVENDRES
"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell D,7,Divendres,18:00 h,
"Escola Calderon de la Barca AMPA ""A""",Escola Calderon de la Barca AMPA,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell D,8,Divendres,20:00 h,
"Club Esportiu Mediterrani ""C""",Club Esportiu Mediterrani,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,20:00 h,Equip d'iniciació
"Escola Diputació - TEAM ""A""",Escola Diputació - TEAM,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,19:15 h,
"Escolàpies de Llúria (FPC CET 10) ""A""",Escolàpies de Llúria (FPC CET 10),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,18:00 h,
Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,1,Divendres,18:00 h,
Escola Ntra Sra de Lurdes,Escola Ntra Sra de Lurdes,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell D,1,Dissabte,09:00 h,
Manyanet Sant Andreu,Manyanet Sant Andreu,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell B,1,Dissabte,14:00 h,
"AFA Escola Taber (AE Can Caralleu) ""Vermell""",AFA Escola Taber (AE Can Caralleu),FUTBOL 5 BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell C,1,Divendres,18:00 h,
"Escola Pia Sant Miquel ""V""",Escola Pia Sant Miquel,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,1,Divendres,19:00 h,
"Escola Pia Sant Miquel ""N""",Escola Pia Sant Miquel,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,1,Divendres,19:00 h,
"Col·legi Teresianes de Gràcia (A.E.V.G.) ""A""",Col·legi Teresianes de Gràcia (A.E.V.G.),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,19:00 h,"VULL QUE ELS DOS EQUIPS QUE TINC, JUGUIN EN EL MATEIX TORN DE JORNADA TANT A CASA COM A FORA. NO VULL QUE S'ALTERNIN, PERQUÈ SINÓ M'ES IMPOSSIBLE LOGÍSTICAMENT. ELS DOS DE LOCALS I ELS DOS DE VISITANTS."
"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,2,Divendres,20:00 h,
Associació Esportiva Babar,Associació Esportiva Babar,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,,Dissabte,10:00 h,
"Escola Sant Josep Oriol ""A""",Escola Sant Josep Oriol,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell D,Casa,Divendres,18:00 h,
Club Esportiu Mediterrani,Club Esportiu Mediterrani,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Casa,Divendres,18:00 h,
Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,,Dissabte,10:00 h,
"Escola Bac de Roda (7 d'Aventura) ""A""",Escola Bac de Roda (7 d'Aventura),FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,1,Divendres,19:00 h,
