Nom,Entitat,Nom Lliga,Nivell,Núm. sorteig,Dia partit,Horari partit,Observacions
"Escola Pia Balmes ""B""",Escola Pia Balmes,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,8,Divendres,18:00 h,
"Escola de Futbol Sala Sant Marc de Sarrià ""A""",Escola de Futbol Sala Sant Marc de Sarrià,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell D,Casa,Divendres,18:00 h,por favor que nos pongan colegios los mas cercanos posible
"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell B,1,Divendres,18:00 h,LLIGA DIVENDRES
"Artós Sports Club (FPC CET 10) ""C""",Artós Sports Club (FPC CET 10),FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell D,5,Divendres,18:00 h,LLIGA DIVENDRES
"FC Xavi ""A""",FC Xavi,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell A,1,Divendres,19:00 h,
"FC Xavi ""B""",FC Xavi,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell A,1,Divendres,19:00 h,
"FC Xavi ""C""",FC Xavi,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell A,Casa,Dimarts,19:00 h,
"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,7,Divendres,18:00 h,
"Dominiques Barcelona ""A""",Dominiques Barcelona,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell B,1,Divendres,18:00 h,
Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell D,1,Divendres,18:00 h,
"Escola Ntra Sra de Lurdes ""A""",Escola Ntra Sra de Lurdes,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell E,1,Dissabte,12:00 h,
"Jesuïtes Gràcia - Col·legi Kostka ""Verd""",Jesuïtes Gràcia - Col·legi Kostka,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,4,Dissabte,11:00 h,
"Jesuïtes Gràcia - Col·legi Kostka ""Negre""",Jesuïtes Gràcia - Col·legi Kostka,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,8,Dissabte,12:00 h,
"OAK House British School ""A""",OAK House British School,FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,Nivell D,1,Divendres,19:00 h,LLIGA DELS DIVENDRES
"AI Estel Vallseca ""A""",AI Estel Vallseca,FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,Nivell E,3,Divendres,19:15 h,
"ACE Sansur ""A""",ACE Sansur,FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,Nivell C,Casa,Dissabte,11:45 h,
Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,Nivell C,5,Divendres,18:00 h,
Escola Pia Sant Miquel,Escola Pia Sant Miquel,FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Nivell C,1,Divendres,20:00 h,
Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Nivell C,1,Dissabte,12:00 h,
"ACE Sansur ""A""",ACE Sansur,FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Nivell A,Casa,Dissabte,18:30 h,
"Institut Ernest Lluch (AE L'Eixample) ""A""",Institut Ernest Lluch (AE L'Eixample),FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Nivell C,4,Divendres,19:00 h,
"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Nivell B,Casa,Dissabte,09:00 h,
CE Vincit-Provençalenc A,CE Vincit-Provençalenc,FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Nivell D,Casa,Divendres,19:00 h,
"Institut Caterina Albert (FPC CET 10) ""A""",Institut Caterina Albert (FPC CET 10),FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,18:00 h,
"Pam Roig (FPC CET 10) ""A""",Pam Roig (FPC CET 10),FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,18:00 h,
"Sant Peter´s School ""C""",Sant Peter´s School,FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Nivell C,Fora,Divendres,19:00 h,
"Escola Virolai ""A""",Escola Virolai,FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Nivell E,3,Divendres,18:00 h,
"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Nivell C,5,Divendres,19:45 h,LLIGA DIVENDRES
"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Nivell C,3,Divendres,19:00 h,
Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Nivell D,1,Divendres,19:00 h,
"Escola de Futbol Sala Sant Marc de Sarrià ""A""",Escola de Futbol Sala Sant Marc de Sarrià,FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,20:00 h,por favor que nos pongan colegios los mas cercanos posibles
