Nom,Entitat,Nom Lliga,Nivell,Núm. sorteig,Modalitat,Categoria,Subcategoria,Dia partit,Horari partit,Observacions
"Col·legi Sagrat Cor Sarrià ""Vermell""",Col·legi Sagrat Cor Sarrià,BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell B,4,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,19:15 h,respecteu número sorteig
"S.E Escuelas Salesianas San José ""Vermell""",S.E Escuelas Salesianas San José,BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell E,1,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,19:45 h,
"Escola Thau ""A""",Escola Thau,BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell C,Casa,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,18:15 h,
"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell E,3,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,18:00 h,
Associació Esportiva Arrels Congrés,Associació Esportiva Arrels Congrés,BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell E,2,BÀSQUET,ALEVÍ,MIXT,Divendres,18:15 h,
"AE Les Corts-UBAE ""A""",AE Les Corts-UBAE,BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,BÀSQUET,ALEVÍ,MIXT,Dissabte,10:15 h,
Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell E,1,BÀSQUET,ALEVÍ,MIXT,Divendres,18:00 h,
"Escola Turó del Cargol (FBC) ""A""",Escola Turó del Cargol (FBC),BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,BÀSQUET,ALEVÍ,MIXT,Divendres,19:30 h,
Escola Ntra Sra de Lurdes,Escola Ntra Sra de Lurdes,BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell D,1,BÀSQUET,ALEVÍ,MIXT,Dissabte,09:00 h,
"Col·legi Sagrat Cor Sarrià ""A""",Col·legi Sagrat Cor Sarrià,BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell A,8,BÀSQUET,ALEVÍ,MIXT,Divendres,19:15 h,respecteu numero de sorteig
"S.E Escuelas Salesianas San José ""Vermell""",S.E Escuelas Salesianas San José,BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell E,1,BÀSQUET,ALEVÍ,MIXT,Divendres,19:45 h,
"Vedruna Immaculada - 2 de Maig (AE L'Eixample) ""A""",Vedruna Immaculada - 2 de Maig (AE L'Eixample),BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell B,3,BÀSQUET,ALEVÍ,MIXT,Dissabte,09:00 h,
"American School of Barcelona ""A""",American School of Barcelona,BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Casa,BÀSQUET,ALEVÍ,MIXT,Dissabte,09:00 h,
"Escola Thau ""A""",Escola Thau,BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Fora,BÀSQUET,ALEVÍ,MIXT,Divendres,18:15 h,
"Escola Garbí ""A""",Escola Garbí,BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,BÀSQUET,ALEVÍ,MIXT,Divendres,18:00 h,
"Club bàsquet turó de la Peira ""A""",Club bàsquet turó de la Peira,BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell D,,BÀSQUET,ALEVÍ,MIXT,Divendres,18:00 h,
"Club bàsquet turó de la Peira ""B""",Club bàsquet turó de la Peira,BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell E,,BÀSQUET,ALEVÍ,MIXT,Divendres,18:30 h,
"Club bàsquet turó de la Peira ""Blau""",Club bàsquet turó de la Peira,BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell D,,BÀSQUET,ALEVÍ,MIXT,Divendres,18:00 h,
"Fundació Cultural Privada Pàlcam (Bàsquet) ""A""",Fundació Cultural Privada Pàlcam (Bàsquet),BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,BÀSQUET,ALEVÍ,MIXT,Dissabte,12:30 h,
"Escola Dolors Monserdà Santapau ""A""",Escola Dolors Monserdà Santapau,BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,BÀSQUET,ALEVÍ,MIXT,Divendres,18:00 h,
AFA Escola Pompeu Fabra (Ceissa),AFA Escola Pompeu Fabra (Ceissa),BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell E,3,BÀSQUET,ALEVÍ,MIXT,Divendres,19:30 h,
"Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo),BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell A,7,BÀSQUET,ALEVÍ,MIXT,Divendres,19:30 h,
"Escola Provençals (FPC CET 10) ""A""",Escola Provençals (FPC CET 10),BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Casa,BÀSQUET,ALEVÍ,MIXT,Divendres,18:00 h,
"Fundació Brafa ""A""",Fundació Brafa,BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,BÀSQUET,ALEVÍ,MIXT,Dissabte,09:15 h,Aquest equip alterna camp amb una altre equip de la casa. El prealeví femení.
"AFA La Llacuna del Poblenou ""Blau""",AFA La Llacuna del Poblenou,BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell D,7,BÀSQUET,ALEVÍ,MIXT,Divendres,19:15 h,
"Bàsquet CAT ""A""",Bàsquet CAT,BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,BÀSQUET,ALEVÍ,MIXT,Divendres,19:30 h,
"Escola Auró (AE L'Eixample) ""A""",Escola Auró (AE L'Eixample),BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell D,4,BÀSQUET,ALEVÍ,MIXT,Divendres,19:45 h,
"Escola Auró (AE L'Eixample) ""B""",Escola Auró (AE L'Eixample),BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell B,8,BÀSQUET,ALEVÍ,MIXT,Divendres,19:45 h,
"EB Vallcarca Nord (FBC) ""Blau""",EB Vallcarca Nord (FBC),BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell D,,BÀSQUET,ALEVÍ,MIXT,Divendres,19:30 h,
"Jesuïtes Casp ""A""",Jesuïtes Casp,BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Nivell B,3,BÀSQUET,ALEVÍ,MIXT,Divendres,19:15 h,
Escola Pia Sant Miquel,Escola Pia Sant Miquel,BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell C,5,BÀSQUET,BENJAMÍ,FEMENÍ,Dissabte,10:15 h,
"Escola Pia Balmes ""A""",Escola Pia Balmes,BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell D,8,BÀSQUET,BENJAMÍ,FEMENÍ,Divendres,18:00 h,
"JesuÏtes Sarria-Sant Ignasi ""A""",JesuÏtes Sarria-Sant Ignasi,BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell B,1,BÀSQUET,BENJAMÍ,FEMENÍ,Divendres,18:00 h,
"AE Les Corts-UBAE ""A""",AE Les Corts-UBAE,BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell D,Casa,BÀSQUET,BENJAMÍ,FEMENÍ,Dissabte,09:00 h,
"Escola Virolai ""A""",Escola Virolai,BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell A,7,BÀSQUET,BENJAMÍ,FEMENÍ,Divendres,19:15 h,
"Escolapis Sarrià ""A""",Escolapis Sarrià,BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell E,Fora,BÀSQUET,BENJAMÍ,FEMENÍ,Divendres,18:00 h,
"Col·legi Sagrat Cor Sarrià ""A""",Col·legi Sagrat Cor Sarrià,BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell A,8,BÀSQUET,BENJAMÍ,FEMENÍ,Divendres,18:00 h,respecteu número de sorteig
"AE Lycée Français ""A""",AE Lycée Français,BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell C,2,BÀSQUET,BENJAMÍ,FEMENÍ,Dissabte,12:15 h,FORA DE COMPETICIÓ JA QUE HI HA 6 NENES PRE.BENJAMI I 6 PRE.ALEVIS MOLT FLUGETES
"Escola Thau ""A""",Escola Thau,BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell C,Casa,BÀSQUET,BENJAMÍ,FEMENÍ,Divendres,18:15 h,
"Col·legi Canigó ""A""",Col·legi Canigó,BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell A,Casa,BÀSQUET,BENJAMÍ,FEMENÍ,Dissabte,10:30 h,
"Col·legi Canigó ""B""",Col·legi Canigó,BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell B,Casa,BÀSQUET,BENJAMÍ,FEMENÍ,Dissabte,10:30 h,
"Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo),BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell C,3,BÀSQUET,BENJAMÍ,FEMENÍ,Divendres,18:00 h,
"Aula Escola Europea ""Blau""",Aula Escola Europea,BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell C,5,BÀSQUET,BENJAMÍ,FEMENÍ,Divendres,18:00 h,
"Aula Escola Europea ""Negre""",Aula Escola Europea,BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell C,5,BÀSQUET,BENJAMÍ,FEMENÍ,Divendres,18:00 h,
"Col·legi Sagrado Corazón (Corazonistas) ""A""",Col·legi Sagrado Corazón (Corazonistas),BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,Nivell C,7,BÀSQUET,BENJAMÍ,FEMENÍ,Divendres,18:00 h,RESPECTAR SI US PLAU NÚMERO CALENDARI
"Club bàsquet turó de la Peira ""A""",Club bàsquet turó de la Peira,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell D,,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,
"Club bàsquet turó de la Peira ""Vermell""",Club bàsquet turó de la Peira,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,
"Aula Escola Europea ""A""",Aula Escola Europea,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,5,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,
AFA Escola Pompeu Fabra (Ceissa),AFA Escola Pompeu Fabra (Ceissa),BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,3,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:15 h,
"Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo) ""Negre""",Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo),BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell B,7,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,
"Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo) ""Vermell""",Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo),BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell B,7,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,
"Escola Provençals (FPC CET 10) ""A""",Escola Provençals (FPC CET 10),BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,
"Escola Ignasi Iglésias (FBC) ""A""",Escola Ignasi Iglésias (FBC),BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell A,3,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:30 h,
"Escola Pere Verges ""A""",Escola Pere Verges,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,
"Bàsquet CAT ""A""",Bàsquet CAT,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,
"Fundació Brafa ""A""",Fundació Brafa,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell D,Indiferent,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:30 h,JUGA EN PISTA EXTERIOR
"AFA La Llacuna del Poblenou ""Blau""",AFA La Llacuna del Poblenou,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell D,7,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,
"Escola Els Llorers (AE L'Eixample) ""A""",Escola Els Llorers (AE L'Eixample),BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell D,5,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:15 h,
"Associació EIXIC Lleure i Esport ""A""",Associació EIXIC Lleure i Esport,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell D,Fora,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:15 h,
"Escola Costa i Llobera (AE Can Caralleu) ""Groc""",Escola Costa i Llobera (AE Can Caralleu),BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,1,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:15 h,
"Escola Joan Miró (AE L'Eixample) ""A""",Escola Joan Miró (AE L'Eixample),BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,8,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:15 h,
"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell B,Casa,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,
"Escola Auró (AE L'Eixample) ""A""",Escola Auró (AE L'Eixample),BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,8,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:30 h,
"EB Vallcarca Nord (FBC) ""Blau""",EB Vallcarca Nord (FBC),BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:15 h,
"Jesuïtes Casp ""A""",Jesuïtes Casp,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell D,3,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,
"Escola Reina Elisenda-Virolai ""A""",Escola Virolai,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell A,3,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,
"JesuÏtes Sarria-Sant Ignasi ""A""",JesuÏtes Sarria-Sant Ignasi,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell A,5,BÀSQUET,BENJAMÍ,MIXT,Divendres,19:15 h,
"AE Les Corts-UBAE ""B""",AE Les Corts-UBAE,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Fora,BÀSQUET,BENJAMÍ,MIXT,Dissabte,09:00 h,
"AE Les Corts-UBAE ""A""",AE Les Corts-UBAE,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Fora,BÀSQUET,BENJAMÍ,MIXT,Dissabte,10:15 h,
"Escolapis Sarrià ""A""",Escolapis Sarrià,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,
"Escola Diputació - TEAM ""A""",Escola Diputació - TEAM,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Fora,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,
"Escola Turó del Cargol (FBC) ""A""",Escola Turó del Cargol (FBC),BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Fora,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:15 h,
Escola Ntra Sra de Lurdes,Escola Ntra Sra de Lurdes,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,1,BÀSQUET,BENJAMÍ,MIXT,Dissabte,11:30 h,
Escola Vila Olímpica,CB Grup Barna,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Casa,BÀSQUET,PREALEVÍ,MIXT,Divendres,18:15 h,
"Escola Ferran Sunyer (AE L'Eixample) ""A""",Escola Ferran Sunyer (AE L'Eixample),BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,4,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:15 h,
"S.E Escuelas Salesianas San José ""Vermell""",S.E Escuelas Salesianas San José,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,1,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:15 h,
"Club Bàsquet Coll ""A""",Club Bàsquet Coll,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,4,BÀSQUET,BENJAMÍ,MIXT,Dissabte,10:45 h,
Col·legi Padre Damian Sagrados Corazones,Col·legi Padre Damian Sagrados Corazones,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell B,Fora,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,
"Escola Grevol ""A""",Escola Grevol,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,3,BÀSQUET,BENJAMÍ,MIXT,Dissabte,09:00 h,
"AE Lycée Français ""A""",AE Lycée Français,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell A,2,BÀSQUET,BENJAMÍ,MIXT,Dissabte,10:45 h,
"Escola Thau ""A""",Escola Thau,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell D,Fora,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:15 h,
"EB Antoni Brusi (FBC) ""Groc""",EB Antoni Brusi (FBC),BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:30 h,
"Escola Garbí ""A""",Escola Garbí,BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Casa,BÀSQUET,BENJAMÍ,MIXT,Divendres,18:00 h,
Escola de Secundaria Els Arcs (Bàsquet),Escola de Secundaria Els Arcs (Bàsquet),BÀSQUET CADET FEMENÍ 1ª FASE CEEB,Nivell D,4,BÀSQUET,CADET,FEMENÍ,Dissabte,11:00 h,
"Club bàsquet turó de la Peira ""A""",Club bàsquet turó de la Peira,BÀSQUET CADET FEMENÍ 1ª FASE CEEB,Nivell D,,BÀSQUET,CADET,FEMENÍ,Dissabte,11:45 h,
"Col·legi Canigó ""B""",Col·legi Canigó,BÀSQUET CADET FEMENÍ 1ª FASE CEEB,Nivell B,Fora,BÀSQUET,CADET,FEMENÍ,Dissabte,09:00 h,
"Col·legi Canigó ""A""",Col·legi Canigó,BÀSQUET CADET FEMENÍ 1ª FASE CEEB,Nivell A,Casa,BÀSQUET,CADET,FEMENÍ,Dissabte,09:00 h,
Escola Pia Sant Miquel,Escola Pia Sant Miquel,BÀSQUET CADET FEMENÍ 1ª FASE CEEB,Nivell C,5,BÀSQUET,CADET,FEMENÍ,Divendres,18:10 h,
"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),BÀSQUET CADET FEMENÍ 1ª FASE CEEB,Nivell E,Casa,BÀSQUET,CADET,FEMENÍ,Divendres,19:15 h,
"Fundació Brafa ""A""",Fundació Brafa,BÀSQUET CADET MIXT 1ª FASE CEEB,Nivell C,Fora,BÀSQUET,CADET,MIXT,Dissabte,13:30 h,AQUEST EQUIP ALTERNA PISTA AMB UN ALTRE EQUIP. PRIMERA JORNADA HA DE JUGAR FORA.
"Institut Ernest Lluch (AE L'Eixample) ""A""",Institut Ernest Lluch (AE L'Eixample),BÀSQUET CADET MIXT 1ª FASE CEEB,Nivell C,8,BÀSQUET,CADET,MIXT,Divendres,19:30 h,
"CE La Salle Gracia ""A""",CE La Salle Gracia,BÀSQUET CADET MIXT 1ª FASE CEEB,Nivell E,5,BÀSQUET,CADET,MIXT,Divendres,20:00 h,
Associació Esportiva Arrels Congrés,Associació Esportiva Arrels Congrés,BÀSQUET CADET MIXT 1ª FASE CEEB,Nivell E,2,BÀSQUET,CADET,MIXT,Divendres,19:45 h,
"AE Les Corts-UBAE ""B""",AE Les Corts-UBAE,BÀSQUET CADET MIXT 1ª FASE CEEB,Nivell D,Casa,BÀSQUET,CADET,MIXT,Dissabte,10:15 h,
"AE Les Corts-UBAE ""A""",AE Les Corts-UBAE,BÀSQUET CADET MIXT 1ª FASE CEEB,Nivell D,Fora,BÀSQUET,CADET,MIXT,Dissabte,11:30 h,
Escola de Secundaria Els Arcs (Bàsquet),Escola de Secundaria Els Arcs (Bàsquet),BÀSQUET CADET MIXT 1ª FASE CEEB,Nivell B,8,BÀSQUET,CADET,MIXT,Dissabte,12:30 h,ÉS MOLT IMPORTANT MANTENIR EL MATEIX NOMBRE DE CALENDARI QUE L'INFANTIL FEMENÍ DONAT QUE ELS DOS EQUIPS ELS ENTRENA EL MATEIX ENTRENADOR I ELS PARTITS DE CASA ESTAN POSATS SEGUITS. SI NO ÉS AIXÍ ENS SUPOSA MOLTS AJORNAMENTS. ÉS UN CADET TOT DE PRIMER ANY.
"Escola de Secundaria Els Arcs (Bàsquet) ""A""",Escola de Secundaria Els Arcs (Bàsquet),BÀSQUET CADET MIXT 1ª FASE CEEB,Nivell B,4,BÀSQUET,CADET,MIXT,Dissabte,11:00 h,"ÉS MOLT IMPORTANT MANTENIR EL NÚMERO DE CALENDARI DONAT QUE L'ENTRENADORA PORTA TAMBÉ EL SÈNIOR I JUGUEN SEGUITS A CASA. CAS CONTRARI HI HAURIA MASSA AJORNAMENTS. A MÉS, ELS CADETS A HAN DE PUJAR AL JUVENIL A CASA, DONAT QUE EL JUVENIL ÉS UN EQUIP CURT DE JUGADORS."
"The Benjamin Franklin International School ""A""",The Benjamin Franklin International School,BÀSQUET CADET MIXT 1ª FASE CEEB,Nivell E,3,BÀSQUET,CADET,MIXT,Dissabte,10:00 h,
"Institut Viladomat - TEAM ""A""",Institut Viladomat - TEAM,BÀSQUET CADET MIXT 1ª FASE CEEB,Nivell E,Casa,BÀSQUET,CADET,MIXT,Divendres,20:15 h,
"Vedruna Immaculada - 2 de Maig (AE L'Eixample) ""A""",Vedruna Immaculada - 2 de Maig (AE L'Eixample),BÀSQUET CADET MIXT 1ª FASE CEEB,Nivell B,3,BÀSQUET,CADET,MIXT,Dissabte,10:30 h,
"American School of Barcelona ""A""",American School of Barcelona,BÀSQUET CADET MIXT 1ª FASE CEEB,Nivell A,Fora,BÀSQUET,CADET,MIXT,Dissabte,09:00 h,
Col·legi Immaculada Concepció D'Horta,Col·legi Immaculada Concepció D'Horta,BÀSQUET CADET MIXT 1ª FASE CEEB,Nivell D,Casa,BÀSQUET,CADET,MIXT,Dissabte,11:00 h,
Braval A,Braval,BÀSQUET CADET MIXT 1ª FASE CEEB,Nivell A,3,BÀSQUET,CADET,MIXT,Divendres,18:15 h,
Braval B,Braval,BÀSQUET CADET MIXT 1ª FASE CEEB,Nivell B,7,BÀSQUET,CADET,MIXT,Divendres,18:15 h,
Ins Martí Pous,7 d'Aventura,BÀSQUET CADET MIXT 1ª FASE CEEB,Nivell E,2,BÀSQUET,CADET,MIXT,Divendres,18:00 h,
