Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G2,"Voleibol Sant Just ""Groc""",Voleibol Sant Just,Nivell A,Diumenge,,8,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G4,"Escola Sadako ""A""",Escola Sadako,Nivell C,Divendres,Casa,1,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G4,"Centre d'Estudis Montseny (FPC CET 10) ""A""",Centre d'Estudis Montseny (FPC CET 10),Nivell C,Divendres,Fora,2,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G4,"Volei els Arcs ""A""",Volei els Arcs,Nivell C,Divendres,3,3,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G4,"AEE Institut Jaume Balmes ""A""",AEE Institut Jaume Balmes,Nivell D,Divendres,4,4,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G4,"Aula Escola Europea ""A""",Aula Escola Europea,Nivell C,Divendres,5,5,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G4,"Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo),Nivell C,Divendres,6,6,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G4,"Fundació Escola Teresianes Ganduxer ""B""",Fundació Escola Teresianes Ganduxer,Nivell C,Divendres,7,7,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G4,RMSI Sports,RMSI,Nivell C,Divendres,Casa,8,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G5,"CELH (A. Rumbau) ""Verd""",CELH (A. Rumbau),Nivell D,Dissabte,,1,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G5,"JesuÏtes Sarria-Sant Ignasi ""A""",JesuÏtes Sarria-Sant Ignasi,Nivell C,Divendres,2,2,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G5,"Volei els Arcs ""B""",Volei els Arcs,Nivell D,Divendres,3,3,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G5,Club Joventut Les Corts,Club Joventut Les,Nivell D,Dissabte,5,4,"[6, 7]"
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G5,Escola Esportiva Pegaso-Viana- CV Sant Andreu ''B'',Escola Esportiva Pegaso-Viana- CV Sant Andreu,Nivell D,Dissabte,5,5,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G5,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,6,6,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G5,"Fundació Escola Teresianes Ganduxer ""A""",Fundació Escola Teresianes Ganduxer,Nivell C,Divendres,7,7,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G5,Dummy 4,Dummy,Dummy,,,8,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G3,"CELH (A. Rumbau) ""Vermell""",CELH (A. Rumbau),Nivell E,Dissabte,,1,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G3,"Fundació AMPA Lestonnac ""A""",Fundació AMPA Lestonnac,Nivell D,Divendres,2,2,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G3,"Escola de Volei Ciutat Vella (AECV) ""Vermell""",Escola de Volei Ciutat Vella (AECV),Nivell E,Divendres,3,3,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G3,"Escola Suïssa de Barcelona ""A""",Escola Suïssa de Barcelona,Nivell E,Divendres,4,4,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G3,Escola Esportiva Pegaso-Viana- CV Sant Andreu ''A'',Escola Esportiva Pegaso-Viana- CV Sant Andreu,Nivell D,Divendres,5,5,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G3,Dummy 3,Dummy,Dummy,,,6,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G3,Club Esportiu Jesús Maria A,Club Esportiu Jesús Maria,Nivell E,Divendres,7,7,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G3,"Escola La Sedeta (Valors IPP) ""A""",Escola La Sedeta (Valors IPP),Nivell E,Divendres,8,8,[]
