Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G5,CE Vincit-Provençalenc B,CE Vincit-Provençalenc,Nivell B,Divendres,Fora,5,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G5,Parc del Guinardó - Gestió Club,Futbol Club Martinenc,Nivell E,Divendres,Casa,6,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G5,"Escola Auró (AE L'Eixample) ""A""",Escola Auró (AE L'Eixample),Nivell C,Divendres,8,7,[5]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G5,"Escola Brasil (FPC CET 10) ""A""",Escola Brasil (FPC CET 10),Nivell E,Divendres,Casa,8,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G6,"Escola Diputació - TEAM ""A""",Escola Diputació - TEAM,Nivell E,Divendres,Casa,1,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G6,Escola Ntra Sra de Lurdes,Escola Ntra Sra de Lurdes,Nivell E,Dissabte,1,2,"[1, 2]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G6,"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,Nivell B,Divendres,3,3,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G6,Futsal Dante,Futsal Dante,Nivell C,Divendres,Fora,4,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G6,"OAK House British School ""B""",OAK House British School,Nivell C,Divendres,5,5,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G6,Futbol Club Martinenc,Futbol Club Martinenc,Nivell E,Divendres,Casa,6,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G6,Dummy 1,Dummy,Dummy,,,7,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G6,"Acció Sant Martí ""A""",Acció Sant Martí,Nivell E,Divendres,Casa,8,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G7,Manyanet Sant Andreu,Manyanet Sant Andreu,Nivell B,Dissabte,1,1,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G7,"Escola Pràctiques (AE L'Eixample) ""A""",Escola Pràctiques (AE L'Eixample),Nivell E,Divendres,1,2,"[1, 2]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G7,Associació Esportiva Babar,Associació Esportiva Babar,Nivell C,Dissabte,,3,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G7,"EB Vallcarca Nord (FBC) ""Blau""",EB Vallcarca Nord (FBC),Nivell E,Divendres,,4,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G7,"CE La Salle Gracia ""Groc""",CE La Salle Gracia,Nivell C,Divendres,5,5,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G7,"ACE Sansur ""A""",ACE Sansur,Nivell C,Dissabte,Casa,6,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G7,Dummy 2,Dummy,Dummy,,,7,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G7,"Escola Bac de Roda (7 d'Aventura) ""A""",Escola Bac de Roda (7 d'Aventura),Nivell E,Divendres,1,8,"[6, 7]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G3,"Club Esportiu Laietà (Futbol 5) ""A""",Club Esportiu Laietà (Futbol 5),Nivell C,Divendres,Casa,1,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G3,"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,Nivell C,Divendres,2,2,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G3,Escola Josep Mº Jujol (Valors IPP),Escola Josep Mº Jujol (Valors IPP),Nivell E,Divendres,Fora,3,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G3,"Escola Joan Miró (AE L'Eixample) ""A""",Escola Joan Miró (AE L'Eixample),Nivell C,Divendres,4,4,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G3,"Sant Peter´s School ""C""",Sant Peter´s School,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G3,"CE Vincit-Provençalenc ""C""",CE Vincit-Provençalenc,Nivell C,Divendres,Casa,6,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G3,Dummy 7,Dummy,Dummy,,,7,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G3,Col·legi SAFA Horta,Col·legi SAFA Horta,Nivell E,Divendres,Casa,8,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G4,"Escola Pia Sant Miquel ""N""",Escola Pia Sant Miquel,Nivell E,Divendres,1,1,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G4,"Col·legi Teresianes de Gràcia (A.E.V.G.) ""A""",Col·legi Teresianes de Gràcia (A.E.V.G.),Nivell E,Divendres,Fora,2,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G4,Dummy 4,Dummy,Dummy,,,3,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G4,Institució Montserrat,Institució Montserrat,Nivell E,Divendres,Fora,4,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G4,CE Vincit-Provençalenc A,CE Vincit-Provençalenc,Nivell D,Divendres,Fora,5,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G4,Centre Montserrat-Xavier,Centre Montserrat-Xavier,Nivell E,Divendres,Casa,6,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G4,"Escolàpies de Llúria (FPC CET 10) ""A""",Escolàpies de Llúria (FPC CET 10),Nivell E,Divendres,Casa,7,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G4,"AF Sant Antoni Futsal ""A""",AF Sant Antoni Futsal,Nivell E,Divendres,Casa,8,[]
